material,pawn_structure,mobility,king_safety,tempo,knight_position,bishop_position,queen_position,piece_coordination,threats,rizz,total,position_id
-0.1,-0.1,-0.4,-0.8,0.2,0.7,0.0,0.0,-0.3,0.5,7.0,-0.1,dc8170d4_0
0.2,0.3,0.5,0.7,0.3,0.4,0.3,0.0,0.4,0.6,0.7,2.8,dc8170d4_1
0.75,0.6,1.2,1.0,0.8,0.7,0.3,0.0,0.9,1.1,0.9,6.7,dc8170d4_2
0.75,0.25,0.8,0.7,0.6,0.5,0.4,0.0,0.7,1.0,8.0,6.85,dc8170d4_3_rand4
4.5,0.3,0.7,0.6,0.3,0.6,0.2,0.0,0.4,0.5,0.7,3.7,dc8170d4_4
0.1,0.2,0.3,0.0,0.1,0.2,0.0,0.0,0.1,0.2,7.5,0.9,84b6c22d_0
0.0,0.2,0.7,-0.8,0.3,0.6,-0.3,0.8,0.6,0.7,7.0,0.5,84b6c22d_1_rand2
0.25,0.25,0.75,0.25,0.25,0.3,0.8,0.1,0.6,0.75,0.8,0.75,84b6c22d_2
0.75,0.3,0.7,0.6,0.3,0.6,0.0,0.0,0.5,0.8,8.0,5.85,84b6c22d_3
0.2,0.3,0.7,0.6,0.3,0.2,0.0,0.3,0.4,0.8,7.0,2.5,84b6c22d_4
0.3,0.2,0.5,0.7,0.3,0.6,0.3,0.0,0.4,0.5,0.7,2.4,84b6c22d_5
1.0,0.25,0.75,-0.9,0.5,0.3,0.0,0.25,0.6,0.8,8.0,13.45,84b6c22d_6
0.4,0.2,0.7,0.6,0.3,0.4,0.6,0.7,0.5,0.4,0.7,4.3,064c4f75_0
0.25,0.3,0.2,0.3,0.1,0.4,0.2,0.5,-0.1,0.6,7.5,0.4,064c4f75_1
0.2,0.3,0.5,0.2,0.2,0.2,0.7,0.6,0.4,0.3,0.6,3.0,064c4f75_2
0.25,0.2,0.3,-0.2,-0.1,0.1,0.3,0.2,0.2,0.3,7.0,0.95,064c4f75_3_rand3
-0.1,-0.1,-0.3,-0.7,0.2,0.6,0.0,0.0,0.4,0.5,7.5,-0.1,064c4f75_4
0.3,-0.1,0.4,0.2,0.3,0.3,0.5,0.0,0.3,0.4,0.7,1.8,77dc9a09_0
0.3,-0.4,0.6,0.7,0.3,0.5,0.4,0.0,0.5,0.8,0.7,0.75,77dc9a09_1_rand5
0.3,0.4,0.7,0.6,0.3,0.7,0.5,0.2,0.6,0.6,7.0,0.7,77dc9a09_2
0.25,0.25,0.5,0.7,0.2,0.4,0.3,0.6,0.4,0.6,7.0,4.05,77dc9a09_3
0.75,0.3,0.8,0.3,0.2,0.6,0.5,0.2,0.7,0.9,0.7,6.85,77dc9a09_4_rand3
0.1,0.2,0.1,-0.3,0.1,0.2,-0.1,0.3,0.1,0.2,7.5,0.4,77dc9a09_5
0.2,0.3,0.3,-0.4,0.2,0.0,0.2,0.5,0.3,0.6,0.7,0.3,77dc9a09_6_rand2
0.7,0.4,0.9,0.7,0.6,0.5,0.3,0.8,0.7,0.8,0.9,7.8,77dc9a09_7
1.8,1.2,-1.0,-2.0,0.25,0.0,0.0,0.0,1.0,1.5,8.0,5.5,77dc9a09_8
0.3,0.6,0.7,0.8,0.5,0.6,0.3,0.0,0.4,0.5,7.5,0.8,87f03879_0
0.2,0.3,0.7,0.8,0.2,0.0,0.2,0.6,0.4,0.6,7.0,1.8,87f03879_1
0.2,0.3,0.7,0.8,0.2,0.2,0.1,0.5,0.6,0.5,7.0,1.8,87f03879_2_rand4
0.1,-0.4,0.9,-0.9,0.7,0.3,0.2,0.6,0.8,0.9,8.0,0.8,87f03879_3
4.0,3.0,9.0,-5.0,2.0,0.0,1.0,0.0,2.0,9.0,9.0,6.5,87f03879_4
1.1,0.6,1.5,-2.0,1.0,0.0,0.3,0.0,1.2,2.0,9.0,6.0,87f03879_5
3.0,1.0,-2.0,-4.0,-3.0,0.0,0.0,0.0,-1.0,-5.0,9.0,-11.0,87f03879_6
0.2,0.1,0.9,-0.9,0.7,0.0,0.4,0.0,0.9,0.9,0.8,0.75,87f03879_7
-2.0,-3.0,-4.0,-5.0,-3.0,0.0,0.0,0.0,-3.0,-4.0,3.0,-2.5,87f03879_8
5.5,2.0,0.8,-0.9,0.7,0.0,0.6,0.0,0.9,0.9,9.0,9.0,87f03879_9_rand1
0.25,-0.3,-0.4,0.2,0.2,0.0,0.6,0.0,-0.2,0.3,7.5,0.35,ecab32e2_0
0.3,0.2,0.7,0.4,0.3,0.4,0.6,0.1,0.5,0.6,0.7,3.8,ecab32e2_1_rand1
0.3,0.2,0.4,0.3,0.2,0.2,0.1,0.0,0.3,0.4,7.0,1.8,ecab32e2_2
0.3,0.2,0.3,-0.2,-0.1,0.0,0.0,0.6,0.3,0.5,8.0,1.9,ecab32e2_3
0.75,0.5,0.75,0.6,0.3,0.4,0.5,0.6,0.4,0.8,7.5,1.5,ecab32e2_4
0.2,-0.3,0.8,-0.6,0.7,0.4,0.5,0.0,0.6,1.0,0.9,5.7,ecab32e2_5
0.75,-0.25,0.8,0.6,0.4,0.5,0.3,0.1,0.7,0.9,0.7,4.7,ecab32e2_6_rand2
0.9,0.3,1.5,-0.8,0.4,0.6,0.7,1.2,1.0,0.9,0.8,6.4,558c99aa_0
0.3,0.2,0.7,0.8,0.3,0.2,-0.1,0.5,0.6,0.4,7.5,2.0,558c99aa_1
0.3,0.2,0.7,0.8,0.3,0.2,0.3,0.5,0.6,0.7,7.5,1.7,558c99aa_2_rand2
0.7,0.3,0.6,0.8,0.2,0.2,0.5,0.4,0.4,0.7,7.5,4.3,558c99aa_3
-0.2,0.2,-0.3,0.5,0.2,0.3,0.2,0.6,0.4,0.3,7.0,0.3,03b18f50_0
-0.1,0.3,0.2,0.7,0.2,0.3,0.6,0.8,0.7,0.5,7.0,0.3,03b18f50_1_rand2
0.3,-0.25,0.3,-0.5,0.1,0.25,0.15,0.0,0.4,0.6,7.0,0.35,03b18f50_2
1.8,0.3,1.0,0.8,0.5,0.7,0.0,1.0,0.9,1.2,8.0,8.9,03b18f50_3_rand1
2.2,1.1,1.8,-2.8,1.5,0.7,0.3,0.0,0.8,1.2,8.5,4.5,03b18f50_4
0.75,0.25,0.8,-0.3,0.7,0.6,0.4,0.0,0.7,1.0,0.9,4.35,03b18f50_5
0.75,0.3,0.8,-0.9,0.6,0.0,0.1,0.2,0.7,0.9,8.5,4.4,03b18f50_6
0.2,0.3,0.2,-0.4,0.1,0.0,0.2,0.0,0.3,0.5,8.0,0.4,03b18f50_7
0.25,0.25,0.3,0.4,0.2,0.4,0.3,0.0,0.3,0.5,0.6,3.75,03b18f50_8
0.35,0.2,0.6,0.3,0.2,0.4,0.3,0.5,0.4,0.5,0.7,3.25,96d1b8b3_0
1.7,0.3,0.9,0.95,0.8,0.6,0.2,0.9,0.8,0.95,0.9,0.98,96d1b8b3_1
3.5,1.5,0.9,-1.0,0.8,0.7,0.2,1.0,0.9,1.0,8.0,9.0,96d1b8b3_2
3.0,2.5,2.0,-3.0,3.0,-1.0,-2.0,3.0,4.0,5.0,9.0,11.0,96d1b8b3_3
1.2,-2.5,2.8,-3.5,1.5,-1.0,-1.0,1.0,1.5,2.0,8.0,4.5,96d1b8b3_4_rand4
4.0,1.0,2.0,-4.0,3.0,1.0,0.0,1.0,2.0,4.0,9.0,25.0,2b44f6d1_0
0.2,0.3,0.7,-0.9,0.6,0.2,0.0,0.8,0.9,0.8,8.0,2.7,2b44f6d1_1
0.75,-0.3,0.8,0.0,0.6,0.3,0.0,0.7,0.6,1.0,8.0,4.85,2b44f6d1_2_rand1
0.7,-0.2,1.5,-1.8,0.3,0.4,0.0,0.6,0.8,1.2,0.9,3.7,2b44f6d1_3
1.5,1.2,1.8,-2.5,1.3,0.8,0.6,0.2,1.0,2.0,8.5,8.5,2b44f6d1_4
,,,,,,,,,,,,2b44f6d1_5
-2.5,-1.5,3.0,-4.0,2.0,0.5,0.0,1.0,2.0,3.0,8.0,8.5,2b44f6d1_6_rand3
0.0,0.2,0.6,0.3,0.2,0.3,0.0,0.0,0.4,0.5,7.5,2.5,561ed8fc_0
0.3,0.4,0.7,0.6,0.2,0.8,0.5,0.7,0.6,0.9,7.5,4.8,561ed8fc_1_rand3
0.3,-0.1,0.6,0.4,0.2,0.0,0.3,0.5,0.4,0.3,0.7,2.4,561ed8fc_2
0.3,0.2,0.6,0.4,0.3,0.4,0.3,0.0,0.5,0.7,0.7,1.9,561ed8fc_3
0.75,-0.25,0.75,0.8,0.25,0.5,0.3,0.0,0.6,0.5,7.5,0.95,561ed8fc_4
0.1,-0.2,0.7,0.6,0.3,0.4,0.3,0.0,0.5,0.7,0.8,4.7,561ed8fc_5_rand5
0.75,0.5,0.8,-0.9,0.6,0.4,0.3,0.0,0.7,0.9,8.5,3.75,561ed8fc_6
2.0,1.5,8.5,-8.0,2.0,0.5,1.0,2.0,9.0,8.0,9.0,37.5,561ed8fc_7_rand5
1.2,0.8,0.9,-0.9,0.7,1.0,1.0,1.0,2.0,3.0,9.0,8.6,561ed8fc_8
-2.5,1.5,-0.9,-0.9,1.2,0.0,0.0,0.0,-0.6,-0.8,8.0,-4.5,561ed8fc_9
0.2,-0.5,-0.8,-1.0,0.7,0.4,0.1,0.0,0.6,0.9,9.0,1.8,561ed8fc_10
0.2,0.1,0.7,0.3,0.2,0.4,0.6,0.3,0.5,0.6,0.7,5.8,83fbe744_0
0.75,-0.25,0.75,0.5,0.25,0.6,0.4,0.8,0.6,0.8,0.7,4.25,83fbe744_1
0.4,0.2,0.5,0.4,0.2,0.3,0.0,0.6,0.4,0.7,7.0,3.4,83fbe744_2_rand4
0.75,0.3,0.6,0.8,0.3,0.4,0.5,0.7,0.6,0.9,8.0,0.85,83fbe744_3
0.3,0.1,0.4,0.6,0.2,0.2,0.4,0.7,0.5,0.3,7.0,0.9,83fbe744_4
-0.1,0.2,0.3,-0.4,0.2,0.1,-0.2,0.6,-0.1,0.7,7.0,0.3,83fbe744_5
3.0,0.2,-0.7,-0.9,-0.3,0.1,0.0,0.4,0.5,0.6,8.5,8.7,83fbe744_6
5.0,1.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,3.0,9.0,19.5,83fbe744_7
5.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,21.0,83fbe744_8_rand3
3.5,0.5,-1.5,-2.5,-0.3,0.0,-0.5,2.0,-1.0,1.5,1.0,-3.0,83fbe744_9
1.5,1.2,0.9,-0.95,0.7,0.3,0.6,0.8,0.85,0.9,9.0,0.9,83fbe744_10_rand5
4.0,1.5,2.0,3.0,1.0,0.25,0.5,1.0,1.75,2.0,9.0,13.5,83fbe744_11
0.2,0.3,0.6,0.3,0.2,0.7,0.0,0.5,0.4,0.5,7.5,3.2,35b13270_0
0.25,0.3,0.7,0.4,0.3,0.6,0.2,0.5,0.5,0.6,0.7,3.8,35b13270_1
0.2,-0.1,0.7,-0.3,0.2,0.1,0.1,0.6,0.5,0.4,7.0,0.75,35b13270_2
0.75,0.25,0.75,0.6,0.3,0.4,0.0,0.5,0.6,0.8,8.0,3.35,35b13270_3
0.2,0.3,0.8,0.7,0.3,0.0,0.2,0.5,0.6,0.7,7.5,0.75,35b13270_4
0.2,0.2,0.5,-1.0,0.3,0.2,0.0,0.4,0.3,0.6,7.0,1.8,35b13270_5
0.2,0.3,0.7,0.4,0.3,0.5,0.4,0.0,0.6,0.5,0.7,3.8,85f1d352_0
0.0,0.2,-0.2,0.6,-0.1,0.3,-0.3,0.0,-0.3,0.7,7.0,0.8,85f1d352_1_rand5
0.75,0.6,0.8,0.9,0.3,0.7,0.3,1.0,0.9,0.7,7.5,3.5,85f1d352_2
1.4,0.7,0.9,-0.8,0.6,0.4,0.3,0.7,0.8,0.9,8.5,6.3,85f1d352_3
0.75,0.3,0.8,0.7,0.6,0.6,0.2,0.1,0.5,0.9,0.8,0.95,85f1d352_4
4.0,3.0,5.0,-6.0,3.5,0.0,4.0,0.0,4.5,6.0,9.0,34.0,85f1d352_5
0.9,0.0,0.3,0.2,0.2,0.5,0.3,0.7,0.4,0.6,7.0,2.8,f9bf7e8b_0
0.3,0.2,0.3,0.1,0.2,0.0,0.0,0.4,0.3,0.2,7.0,1.7,f9bf7e8b_1_rand5
0.2,0.2,0.3,0.0,0.2,0.3,0.0,0.4,0.3,0.5,7.0,1.9,f9bf7e8b_2
0.4,0.3,0.8,0.7,0.3,0.4,0.6,0.7,0.6,0.9,0.8,0.85,f9bf7e8b_3
0.75,0.5,0.8,0.6,0.5,0.5,0.0,1.0,0.75,0.75,8.5,1.25,f9bf7e8b_4_rand2
0.25,0.1,0.7,-0.6,0.3,0.6,0.4,0.5,0.4,0.8,0.7,0.5,f9bf7e8b_5
0.2,0.2,0.3,-0.4,0.2,0.2,0.3,0.4,0.3,0.5,7.0,0.7,f9bf7e8b_6
0.4,0.2,0.8,-0.6,0.3,0.0,0.5,0.7,0.6,0.7,7.0,0.9,120d47a1_0
3.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,17.0,120d47a1_1
0.7,0.9,-0.8,-0.9,-0.7,0.0,0.0,0.0,-0.6,0.8,7.5,-0.7,120d47a1_2_rand5
0.25,0.3,0.4,0.1,0.2,0.3,0.4,0.0,0.3,0.2,8.5,1.75,c1aa38ad_0
0.3,0.0,0.3,0.2,0.2,0.4,0.3,0.0,0.2,0.3,0.6,1.7,c1aa38ad_1
0.3,0.1,0.2,-0.7,0.1,0.0,0.0,0.8,0.3,0.6,7.0,3.7,c1aa38ad_2
0.2,0.3,0.5,-0.6,0.2,0.0,0.4,0.6,0.4,0.7,0.7,3.7,7f6a2891_0
-0.15,-0.2,0.7,0.8,0.2,0.1,0.0,0.1,0.4,0.6,7.0,1.1,7f6a2891_1
0.25,-0.15,0.4,-0.7,0.2,0.6,0.0,0.5,0.4,0.6,8.0,6.75,7f6a2891_2_rand4
1.2,0.3,-0.7,-0.9,-0.4,0.2,0.0,0.5,0.4,0.8,0.7,-0.5,a8b7c2d2_0
0.3,-0.2,0.5,0.3,0.2,0.4,0.6,0.5,0.4,0.7,7.0,4.8,8757c1b1_0
0.25,-0.1,0.75,0.6,0.25,0.4,0.5,0.3,0.5,0.4,7.0,4.35,8757c1b1_1
0.3,0.2,0.5,0.3,0.2,0.3,0.4,0.6,0.4,0.5,7.0,4.7,8757c1b1_2_rand4
0.2,-0.1,0.8,-0.6,0.3,0.6,0.7,0.9,0.7,0.8,7.0,0.3,8757c1b1_3
-0.2,0.2,0.3,0.2,0.1,0.2,0.7,0.0,0.3,0.4,7.0,0.3,7d2b5194_0
0.3,-0.2,0.3,0.3,0.2,0.0,-0.1,0.2,0.2,0.4,7.5,0.8,7d2b5194_1
0.3,-0.4,0.8,-0.6,0.3,0.0,0.0,1.0,0.7,0.8,8.0,0.75,7d2b5194_2_rand1
0.3,0.2,0.7,0.3,0.2,0.6,0.8,0.7,0.5,0.4,7.0,1.3,7d2b5194_3
0.3,0.2,-0.2,-0.4,0.3,0.7,0.0,0.6,0.3,0.5,7.0,0.7,7d2b5194_4_rand3
0.1,-0.1,0.3,0.2,0.1,0.7,0.0,-0.2,0.4,0.6,7.0,2.1,7d2b5194_5
0.25,0.3,0.6,0.2,0.3,0.4,0.5,0.1,0.4,0.5,8.5,1.85,b8e3137e_0
3.0,0.3,1.5,1.0,0.3,0.4,0.3,1.0,1.2,1.5,1.8,9.2,b8e3137e_1
2.5,1.2,2.0,1.8,1.5,0.7,0.5,1.0,1.7,1.3,1.8,13.5,b8e3137e_2
4.25,0.75,1.5,1.25,0.75,0.75,0.25,1.25,1.0,1.5,1.75,10.35,b8e3137e_3_rand2
0.7,-0.6,-0.8,-0.9,-0.5,-0.2,0.0,-0.3,-0.7,0.8,6.0,-0.7,b8e3137e_4
4.0,1.0,2.0,-4.0,1.0,1.0,0.5,1.0,2.0,3.0,9.0,9.5,b8e3137e_5_rand2
5.0,2.5,0.9,-0.9,0.7,0.8,0.0,0.9,0.7,0.9,0.9,0.95,b8e3137e_6
0.2,0.3,0.7,0.6,0.2,0.3,0.2,0.8,0.5,0.4,7.0,3.3,b8e3137e_7_rand5
1.5,-1.5,1.0,-2.0,1.0,0.7,0.2,1.5,1.2,2.0,9.0,4.5,b8e3137e_8
0.25,0.3,0.7,0.0,0.3,0.3,0.4,0.0,0.3,0.5,0.7,2.25,0928b36a_0
0.1,-0.3,0.4,0.2,0.0,0.2,0.3,0.1,0.3,0.5,7.5,0.7,0928b36a_1
0.3,0.2,0.7,0.6,0.2,0.0,0.2,0.7,0.5,0.8,7.0,2.3,0928b36a_2_rand4
0.3,0.4,0.8,-0.5,0.3,0.4,-0.2,0.9,0.7,0.9,7.0,0.6,0928b36a_3
2.3,0.3,1.2,1.0,0.7,0.6,0.5,1.0,0.8,1.5,0.9,11.4,0928b36a_4
0.5,0.25,0.75,0.25,0.25,0.5,0.75,0.5,0.6,0.8,0.75,6.35,8cb98241_0
0.75,0.25,0.6,0.8,0.3,0.0,0.4,0.7,0.5,0.7,0.8,6.75,8cb98241_1_rand2
1.5,1.2,0.9,-0.3,0.4,0.7,0.6,0.8,0.7,0.9,8.0,5.2,8cb98241_2
0.3,0.2,0.7,0.8,0.3,0.2,0.3,0.1,0.5,0.6,7.0,0.9,8cb98241_3
4.0,-1.0,3.0,-5.0,2.0,-1.0,-1.0,2.0,3.0,4.0,9.0,13.0,8cb98241_4
0.2,-0.3,0.8,-0.9,0.6,0.0,0.0,0.4,0.7,0.9,8.0,3.7,8cb98241_5
-0.75,-0.5,-1.2,-2.0,-1.5,1.0,0.0,0.0,1.0,2.5,9.0,-1.75,8cb98241_6
0.2,-0.7,0.9,-0.9,0.8,-0.3,-0.4,-0.5,0.9,0.95,9.0,0.85,8cb98241_7
0.2,-0.2,-0.4,-0.9,-0.3,-0.2,-0.1,0.0,-0.3,-0.7,0.6,-0.4,8cb98241_8_rand5
0.75,-0.25,1.5,-1.75,1.25,0.75,0.25,1.0,1.0,2.0,1.75,8.5,8cb98241_9
6.5,-7.0,9.0,-10.0,7.0,1.0,0.0,8.0,9.0,9.5,9.0,57.5,8cb98241_10
0.75,-0.25,0.75,0.5,0.25,0.6,-0.1,-0.1,0.4,1.0,0.8,3.75,94e0aa01_0
0.3,0.4,0.6,0.4,0.3,0.7,0.5,0.0,0.4,0.5,8.5,1.4,94e0aa01_1_rand5
5.0,0.75,1.5,1.25,0.5,0.75,0.5,1.25,1.0,1.75,1.5,11.5,94e0aa01_2
0.2,0.1,0.7,0.3,0.1,0.4,0.6,0.5,0.4,0.5,7.0,5.6,cf2eeba6_0
0.2,0.3,0.5,0.2,0.2,0.2,0.1,0.3,0.4,0.6,7.5,2.2,cf2eeba6_1
0.3,0.2,0.6,0.3,0.2,0.7,0.0,0.4,0.3,0.5,7.0,4.8,cf2eeba6_2
0.75,0.5,0.8,0.6,0.4,0.3,0.2,0.2,0.7,0.9,0.8,0.95,cf2eeba6_3
0.2,-0.1,0.8,0.6,0.9,0.3,0.4,0.0,0.7,0.9,0.8,0.85,cf2eeba6_4
0.2,-0.7,0.9,-0.9,0.6,0.2,0.4,0.0,0.8,0.9,9.0,0.8,cf2eeba6_5_rand3
0.25,0.3,0.7,0.2,0.2,0.25,0.75,0.25,0.5,0.3,8.5,0.85,72150809_0
0.1,-0.2,0.7,-0.4,0.2,0.0,0.4,-0.5,0.5,0.6,8.5,0.6,72150809_1_rand5
0.8,0.2,0.6,-0.7,-0.3,0.3,-0.2,0.0,0.4,0.8,7.5,1.4,72150809_2
0.75,0.6,0.8,0.6,0.4,0.7,0.4,0.0,0.7,0.9,0.8,3.5,72150809_3_rand1
1.5,-0.7,0.9,-0.8,0.7,0.3,-0.2,0.8,0.9,0.95,8.5,0.85,e9f49eb9_0
4.5,-0.3,0.9,-0.9,0.7,0.2,0.6,0.3,0.8,0.9,7.0,0.8,e9f49eb9_1_rand2
0.75,0.3,0.8,0.7,0.6,0.5,0.2,0.0,0.6,0.9,0.8,0.95,e9f49eb9_2
0.3,0.2,0.6,0.7,0.2,0.3,0.5,0.0,0.4,0.3,0.7,1.2,2b5c6579_0
0.3,0.1,0.7,0.3,0.2,0.6,0.4,0.0,0.5,0.4,7.0,4.8,7b1f6afd_0
0.3,0.0,0.5,-0.4,0.2,0.3,0.0,0.8,0.4,0.6,7.0,3.7,7b1f6afd_1_rand3
0.2,0.3,0.2,0.7,0.1,0.6,0.0,0.0,0.3,0.4,7.0,0.7,7b1f6afd_2
0.3,0.2,0.8,0.7,0.3,0.2,0.0,0.5,0.6,0.4,0.7,2.8,7b1f6afd_3_rand4
0.3,0.2,0.7,0.8,0.3,0.3,0.4,0.6,0.5,0.6,8.0,1.7,7b1f6afd_4
0.3,0.2,0.8,0.6,0.4,0.7,0.0,0.6,0.7,0.9,7.0,2.0,7b1f6afd_5
1.5,1.0,2.0,-1.5,1.0,1.0,0.5,1.0,1.5,2.5,8.0,7.5,7b1f6afd_6_rand3
0.75,0.25,0.75,0.6,0.3,0.5,0.3,0.5,0.6,0.8,8.0,5.85,7b1f6afd_7
0.75,-0.25,0.6,0.2,0.3,0.7,-0.1,0.8,0.5,0.9,0.7,3.85,7b1f6afd_8_rand4
1.5,0.7,0.9,-0.9,0.6,0.4,-0.2,0.8,0.8,0.9,8.0,7.3,7b1f6afd_9
0.75,0.5,0.9,-0.95,0.8,0.6,0.3,0.9,0.8,0.95,8.5,0.9,7b1f6afd_10
0.3,0.2,0.7,0.8,0.3,0.1,0.5,0.6,0.4,0.6,0.7,1.4,7b1f6afd_11_rand3
0.25,0.3,-0.2,-0.4,0.0,0.2,-0.1,0.0,-0.1,0.3,7.5,0.4,fc7185c9_0
0.3,0.2,0.3,0.1,0.1,0.0,-0.1,0.4,0.3,0.2,7.5,9.7,fc7185c9_1_rand2
0.75,-0.25,0.75,0.5,0.25,0.0,0.5,0.75,0.6,0.4,8.0,1.5,fc7185c9_2
-0.2,0.2,0.3,0.4,0.2,0.0,0.0,1.0,-0.2,0.6,7.0,0.35,fc7185c9_3_rand4
0.75,0.3,0.6,0.4,0.3,0.7,0.5,0.3,0.5,0.8,0.7,1.8,fc7185c9_4
0.2,0.3,0.7,0.6,0.4,0.8,0.2,0.9,0.6,0.7,9.0,3.5,fc7185c9_5_rand4
0.1,0.3,0.8,-0.6,0.2,0.0,-0.2,0.0,0.6,0.7,7.0,0.7,fc7185c9_6
0.25,0.3,-0.2,-0.4,0.1,0.7,-0.1,-0.2,-0.3,0.3,0.8,0.35,fc7185c9_7_rand2
0.25,0.3,0.6,0.2,0.2,0.4,0.3,0.0,0.4,0.5,0.7,1.75,12f42d71_0
0.2,0.3,0.6,0.2,0.3,0.7,0.0,0.0,0.4,0.5,8.0,1.5,12f42d71_1_rand2
,,,,,,,,,,,,12f42d71_2
0.3,-0.4,0.8,0.6,0.2,0.3,-0.2,0.7,0.5,0.7,0.8,3.7,b1439340_0
