material,pawn_structure,mobility,king_safety,tempo,total,position_id
1,1,2,2,0,0,064c4f75_3_rand3
10,4,4,1,0.75,0.75,064c4f75_4
1.0,1.0,1.0,1.0,1.0,1.0,77dc9a09_0
1.0,1.0,1.0,1.0,1.0,1.0,77dc9a09_1_rand5
8,220,10,1,0,1.0,77dc9a09_2
8,3,4,2,1.5,6.7,77dc9a09_3
12,7,9,1,0,1.0,77dc9a09_4_rand3
10,6,7,4,1.5,7.5,77dc9a09_5
8,12,8,1,0,0,77dc9a09_6_rand2
2,2,4,1,2,2,77dc9a09_7
1,1,1,1,0,0,77dc9a09_8
1.5,3,2.5,1.0,0.67,0.67,87f03879_0
1.0,1.0,1.0,1.0,1.0,1.0,87f03879_1
2.0,3.0,2.5,1.0,0.75,0.75,87f03879_2_rand4
1.5,4,1.5,2,0.75,0.75,87f03879_3
1,1,1,1,0,0,87f03879_4
1.5,3,4,2,1.25,0.75,87f03879_5
1,1,1,1,0,0,87f03879_6
1.0,1.0,1.0,1.0,1.0,1.0,87f03879_7
1,1,1,1,0,0,87f03879_8
1.0,1.0,1.0,1.0,1.0,1.0,87f03879_9_rand1
1,1,1,0,0,0,ecab32e2_0
1.0,3.0,2.0,1.0,1.0,2.0,ecab32e2_1_rand1
8,3,3,1.25,-0.25,0.75,ecab32e2_2
8,3.2,4.5,2.8,1.2,6.7,ecab32e2_3
1.5,4,2.5,0.75,0.75,0.75,ecab32e2_4
1,1,1,1,0,0,ecab32e2_5
1.0,3.0,3.0,2.0,1.0,3.0,ecab32e2_6_rand2
3,3,4,2,2,2.3,558c99aa_0
2,8,6,1,2,2.7,558c99aa_1
1,1,2,1,0,0,558c99aa_2_rand2
1,3,2,1,0,0,558c99aa_3
2,2,4,1,2,2.7,03b18f50_0
3,6,4,1.5,1.2,0.87,03b18f50_1_rand2
1.5,3,4,2,1.25,0.75,03b18f50_2
1,1,1,1,0,0,03b18f50_3_rand1
2,2,4,1,2,2.7,03b18f50_4
2,2,1,1,0,1.5,03b18f50_5
2,2,4,2,2,2,03b18f50_6
2.5,4,2.5,1.0,0.75,0.75,03b18f50_7
12,8,10,1,2,2.5,03b18f50_8
2,2,4,1,2,2,96d1b8b3_0
12,8,9,1,2,4.7,96d1b8b3_1
1.0,1.0,1.0,1.0,1.0,1.0,96d1b8b3_2
1,1,1,1,0,0,96d1b8b3_3
12,7,10,1,4,7.5,96d1b8b3_4_rand4
12,7,8,2,2,4.0,2b44f6d1_0
1.0,3.0,3.0,2.0,1.0,3.0,2b44f6d1_1
1,1,1,0,0,0,2b44f6d1_2_rand1
1.0,1.0,1.0,1.0,1.0,1.0,2b44f6d1_3
1.0,1.0,1.0,1.0,1.0,1.0,2b44f6d1_4
1,1,1,1,0,0,2b44f6d1_5
8,6,7,1.2,1.5,7.5,2b44f6d1_6_rand3
12,2,10,1,0,1.0,561ed8fc_0
2,2,8,1,2,3.67,561ed8fc_1_rand3
1,2,8,5,2,5.0,561ed8fc_2
2,4,1.5,1.0,1.0,0.85,561ed8fc_3
1,2,2,1,0,0,561ed8fc_4
1,1,1,1,0,0,561ed8fc_5_rand5
1.0,3.0,3.0,2.0,2.0,3.0,561ed8fc_6
1,1,1,1,0,0,561ed8fc_7_rand5
1.0,1.0,1.0,1.0,1.0,1.0,561ed8fc_8
1.0,1.0,1.0,1.0,1.0,1.0,561ed8fc_9
1.0,1.0,1.0,1.0,1.0,1.0,561ed8fc_10
12,8,10,1,4,4.0,83fbe744_0
1,1,1,3,0,0,83fbe744_1
1,3,2,1,0,0,83fbe744_2_rand4
2,2,2,2,1,1.0,83fbe744_3
1,1,1,1,0,0,83fbe744_4
8,3,3,4,2,4.25,83fbe744_5
1,1,1,1,0,0,83fbe744_6
8,3,2.5,0.75,0.75,0.75,83fbe744_7
1.0,1.0,1.0,1.0,1.0,1.0,83fbe744_8_rand3
1.0,1.0,1.0,1.0,1.0,1.0,83fbe744_9
1,1,1,1,0,0,83fbe744_10_rand5
1.0,1.0,1.0,1.0,1.0,1.0,83fbe744_11
1.0,12.0,11.0,1.0,4.0,4.7,35b13270_0
1,2,2,1,0,0,35b13270_1
9,4,4,2,0.75,0.75,35b13270_2
1,3,2,1,0,0,35b13270_3
1,3,2,2,0,0,35b13270_4
1.0,1.0,1.0,1.0,1.0,1.0,35b13270_5
12,2,9,7,2,4.0,85f1d352_0
12,2,9,2,0,0.75,85f1d352_1_rand5
8,8,8,1,0,0,85f1d352_2
1,1,1,1,0,0,85f1d352_3
1.5,3,1.2,0.75,0.75,0.75,85f1d352_4
10,6,6,4,0.75,0.75,85f1d352_5
2,3,4,2,2,3.0,f9bf7e8b_0
2,3,4,1,2,2.5,f9bf7e8b_1_rand5
3.5,6,4,4,2,7.5,f9bf7e8b_2
1,2,8,1,2,2.5,f9bf7e8b_3
8,8,9,1,0,1.0,f9bf7e8b_4_rand2
9,3,4,2,0.75,0.75,f9bf7e8b_5
1.0,3.0,2.0,1.0,1.0,4.0,f9bf7e8b_6
1.5,3,4,2,0.75,0.75,120d47a1_0
1,1,1,1,0,0,120d47a1_1
1.0,1.0,1.0,0.5,1.0,1.0,120d47a1_2_rand5
9,2,8,1,2,2.5,c1aa38ad_0
1,2,1,0,0,0,c1aa38ad_1
1,1,1,1,0,0,c1aa38ad_2
8,4,3,2,1.5,4.5,7f6a2891_0
8,2,8,1,2,2,7f6a2891_1
1,1,1,1,0,0,7f6a2891_2_rand4
1,1,1,1,0,0,a8b7c2d2_0
2,1,1,1,0,0.75,8757c1b1_0
1.5,3,4,1,2,2.7,8757c1b1_1
1,1,1,0,0,0.5,8757c1b1_2_rand4
1,1.0,1.0,1.0,1.0,1.0,8757c1b1_3
9,2,4,7,2,2.5,7d2b5194_0
9,2,8,1,3,4.75,7d2b5194_1
2,3,4,1.5,0.75,0.75,7d2b5194_2_rand1
2.5,3,2.0,1.0,0.75,0.75,7d2b5194_3
2,2,4,2,2,2.0,7d2b5194_4_rand3
1,2,2,1,1,1.0,7d2b5194_5
3,2,4,1,2,2.7,b8e3137e_0
1.0,3.0,2.0,1.0,1.0,2.7,b8e3137e_1
1.0,1.0,1.0,1.0,1.0,1.0,b8e3137e_2
1,1,1,1,0,0,b8e3137e_3_rand2
12,1,10,7,2,4.0,b8e3137e_4
12,8,10,1,4,4.0,b8e3137e_5_rand2
12,7,9,1,0,1.0,b8e3137e_6
12,8,10,1,2,2.5,b8e3137e_7_rand5
12,7,9,1,0,0.75,b8e3137e_8
3,2,4,1,2,2.7,0928b36a_0
1,1,8,1,0,0,0928b36a_1
1.5,3,4,2,1.25,0.75,0928b36a_2_rand4
1,1,1,1,0,0,0928b36a_3
12,7,9,2,2,4.0,0928b36a_4
12,8,10,1,3,7.5,8cb98241_0
8,4,3,2,1.5,4.5,8cb98241_1_rand2
12,7,9,1,2,2.5,8cb98241_2
1.0,1.0,1.0,1.0,1.0,1.0,8cb98241_3
1.0,1.0,1.0,1.0,1.0,1.0,8cb98241_4
1.0,1.0,1.0,1.0,1.0,1.0,8cb98241_5
1.0,1.0,1.0,1.0,1.0,1.0,8cb98241_6
1.0,1.0,1.0,1.0,1.0,1.0,8cb98241_7
1,2,4,1,2,2.7,8cb98241_8_rand5
1.0,1.0,1.0,1.0,1.0,1.0,8cb98241_9
1.0,1.0,1.0,1.0,1.0,1.0,8cb98241_10
8,2,4,1,2,2,94e0aa01_0
8,2,4,1,2,2.7,94e0aa01_1_rand5
1,2,1,2,0,0,94e0aa01_2
2,2,4,1,2,2.75,cf2eeba6_0
3,2,4,1,2,2.7,cf2eeba6_1
8,2,8,1,2,2.5,cf2eeba6_2
2,2,4,1,2,2.75,cf2eeba6_3
1.0,1.0,1.0,1.0,1.0,1.0,cf2eeba6_4
8,6,2,4,1.5,0.95,cf2eeba6_5_rand3
9,2,4,2,2,2.5,72150809_0
4,2,4,1,2,2.0,72150809_1_rand5
1,1,1,1,0,0,72150809_2
12,7,9,1,2,2.5,72150809_3_rand1
1.5,3,2.5,1.0,0.75,0.75,e9f49eb9_0
1.0,3.0,2.0,1.0,1.0,2.5,e9f49eb9_1_rand2
1,1,1,1,0,0,e9f49eb9_2
9,2,9,7,2,2.3,2b5c6579_0
8,3,2,2,1.5,4.0,7b1f6afd_0
2,2,4,1,2,2,7b1f6afd_1_rand3
1.5,3,1.2,0.75,0.75,0.75,7b1f6afd_2
1.5,3,2.5,0.75,0.75,0.75,7b1f6afd_3_rand4
2,12,9,1,0,1.0,7b1f6afd_4
1,3,2,1,1,2.25,7b1f6afd_5
2,6,8,1,2,4.75,7b1f6afd_6_rand3
2,6,9,4,2,7.25,7b1f6afd_7
1.5,3,2.5,0.75,0.75,0.75,7b1f6afd_8_rand4
1,12,9,1,0,0,7b1f6afd_9
1,1,1,1,0,0,7b1f6afd_10
1,1,1,1,0,0,7b1f6afd_11_rand3
4,6,10,1,2,2.5,fc7185c9_0
4,110,90,1.0,60,72,fc7185c9_1_rand2
12,7,9,2,2,4.0,fc7185c9_2
2.5,3,2.2,1.0,0.75,0.75,fc7185c9_3_rand4
,,,,,,fc7185c9_4
1.0,1.0,1.0,1.0,1.0,1.0,fc7185c9_5_rand4
2.5,4,3,2,1.3,1.3,fc7185c9_6
1.5,3,1.2,0.8,1.2,0.75,fc7185c9_7_rand2
9,7,9,1,2,2.5,12f42d71_0
9,7,9,1,2,2.5,12f42d71_1_rand2
1,1,1,1,0,0,12f42d71_2
12,6,7,4,1.5,7.5,b1439340_0
1,1,1,1,0,0,b1439340_1_rand4
1.5,3,2.5,1.2,0.75,0.75,b1439340_2
10,3,2,3,1.0,1.0,b1439340_3
2,2,2,1,1,1.0,78f1a45e_0
1,1,1,1,0,0,78f1a45e_1
10,3,2,3,1.5,6.7,78f1a45e_2
1.0,1.0,1.0,1.0,1.0,1.0,78f1a45e_3
1.0,1.0,1.0,1.0,1.0,1.0,78f1a45e_4_rand2
1.0,1.0,1.0,1.0,1.0,1.0,78f1a45e_5
1.0,1.0,1.0,1.0,1.0,1.0,78f1a45e_6
1,1,1,1,0,0,78f1a45e_7
8,8,8,1,0,0,96bb609e_0
2,2,4,1,2,2.5,96bb609e_1
2,3,4,2,1.5,6.5,96bb609e_2
1.0,12.0,12.0,7.0,4.0,7.7,e97993fd_0
1,12,9,7,0,0,e97993fd_1_rand4
2,3,3,2,1,1.0,e97993fd_2
1,1,1,1,1,1,e97993fd_3
1.5,3,2.5,0.75,0.75,0.75,e97993fd_4_rand1
1.5,3,1.2,0.8,0.75,0.75,e97993fd_5
1.5,3,2.5,1.0,0.75,0.75,e97993fd_6
1,1,1,1,0,0,e97993fd_7
1,1,1,1,0,0,e97993fd_8
1.5,3,4,2,1.25,0.75,e97993fd_9
12,6,7,4,0.75,0.75,e97993fd_10
8,3,2.5,2,0.75,0.75,e97993fd_11
2,4,3,2,1.5,6.7,383cd6fe_0
1.5,4,4.5,2,1.25,0.75,383cd6fe_1
1,1,1,1,0,0,383cd6fe_2_rand2
1.5,3,4,2,0.75,0.75,383cd6fe_3
1.5,4,1.2,0.75,0.75,0.75,383cd6fe_4
9,2,8,1,2,2.7,8abc2af9_0
1.0,1.0,1.0,1.0,1.0,1.0,8abc2af9_1
12,7,10,1,4,4.0,8abc2af9_2_rand1
2,3,4,2,2,2.5,8abc2af9_3
3,2,4,1,2,2.7,8abc2af9_4_rand3
2,2,2,1,1,1.0,8abc2af9_5
2,3,3,2,2,3.2,8abc2af9_6
2,2,2,1,0,0,8abc2af9_7
2,6,4,2,2,0.75,8abc2af9_8
2,3,2,1.5,0.75,0.75,8abc2af9_9
1,1,1,0,0,0.75,8abc2af9_10_rand1
1.0,3.0,2.0,1.0,1.0,2.5,8abc2af9_11
10,4,4,2,0.8,1.7,8abc2af9_12_rand4
4,2,1,1,0,0.75,5d9f947c_0
1.0,3.0,2.0,1.0,1.0,2.5,5d9f947c_1
2,3,8,1,0,1.0,5d9f947c_2
2,3,8,1,2,5.0,5d9f947c_3_rand3
10,6,7,4,1.5,7.5,5d9f947c_4
1.0,1.0,1.0,1.0,1.0,1.0,5d9f947c_5
8,2,8,1,0,1.0,fb7eaafb_0
2,2,4,1,2,2,fb7eaafb_1
10,4,7,2,1.2,1.2,fb7eaafb_2_rand3
8,6,4,2,2,4.25,fb7eaafb_3
1.0,1.0,1.0,1.0,1.0,1.0,fb7eaafb_4
1.0,1.0,1.0,1.0,1.0,1.0,fb7eaafb_5
1.0,1.0,1.0,1.0,1.0,1.0,fb7eaafb_6_rand4
1.0,3.0,2.0,1.0,2.0,2.7,fb7eaafb_7
2.0,3,1.5,1.0,0.75,0.75,37d5d91d_0
8,2,4,2,2,3.0,37d5d91d_1_rand4
1,1,1,1,0,0,37d5d91d_2
2,3,8,7,2,7.25,37d5d91d_3
1.0,3.0,3.0,2.0,2.0,3.2,37d5d91d_4
1.0,3.0,3.0,2.0,2.0,3.0,37d5d91d_5_rand3
1.0,3.0,3.0,2.0,1.0,4.0,37d5d91d_6
1.0,1.0,1.0,1.0,1.0,1.0,37d5d91d_7_rand2
1,1,1,1,0,0,37d5d91d_8
1,1,1,1,0,0,37d5d91d_9
1.0,3.0,2.0,2.0,1.0,2.5,b9f85da8_0
1,1,1,1,0,0,b9f85da8_1
1,1,1,1,0,0,b9f85da8_2
4,2,2,1,0,0.75,dfdee0bd_0
1.5,6,7,2,0.75,0.75,dfdee0bd_1
9,2,4,2,2,2.5,cd52f691_0
1.0,1.0,1.0,1.0,1.0,1.0,cd52f691_1
1,3,2,2,0,1.0,cd52f691_2
1.0,3.0,2.0,2.0,1.0,3.0,cd52f691_3
1.0,1.0,1.0,1.0,1.0,1.0,e5643d95_0
1.0,1.0,1.0,1.0,1.0,1.0,e5643d95_1_rand2
8,3,3,1.25,0.75,0.75,36fb70ec_0
1.0,1.0,1.0,1.0,1.0,1.0,36fb70ec_1
1,8,8,10,2,2.5,36fb70ec_2
1.5,3,1.5,1,0.75,0.75,36fb70ec_3
12,6,6,7,0.75,7.5,36fb70ec_4
1.0,1.0,1.0,1.0,1.0,1.0,36fb70ec_5_rand2
1.0,1.0,1.0,0.5,1.0,1.0,36fb70ec_6
2.0,3.0,1.5,0.7,1.0,0.85,36fb70ec_7
8,12,6,0.5,1.5,1.8,36fb70ec_8_rand5
1.0,3.0,2.0,1.0,1.0,2.5,36fb70ec_9
10,4,1.5,0.75,0.75,0.75,36fb70ec_10_rand2
10,4,4,2,1.25,0.75,59da0e24_0
10,4,3,2,0.75,0.75,59da0e24_1_rand4
8,3,2.5,1.0,1.33,1.33,59da0e24_2
,,,,,,59da0e24_3
12,7,9,1,2,2.5,59da0e24_4
12,8,9,1,2,2.5,59da0e24_5_rand5
1,1,1,1,0,0,59da0e24_6
1,1,1,1,0,0,59da0e24_7_rand2
8,4,3,2,1.5,2.7,59da0e24_8
8,6,7,6,1.5,7.5,59da0e24_9
2,2,8,2,2,4.0,79fc4feb_0
2,2,8,1,2,2,79fc4feb_1
1,1.0,1.0,1.0,0.0,0.0,79fc4feb_2
1,3,2,1,0,0,79fc4feb_3_rand4
1.0,3.0,2.0,1.0,1.0,2.5,79fc4feb_4
1,1,1,1,0,0,79fc4feb_5
2,2,4,1,2,2.7,757fc61a_0
8,6,10,2,2,4.75,757fc61a_1
1,1,1,1,0,0,757fc61a_2
2,"Weak, isolated pawn on b7","Moderate, some pieces blocked","Good, kings are relatively safe","Passive, lacks clear initiative",0.75,6cf16761_0
12,6,7,4,1.5,7.5,6cf16761_1
1,2,1,1,0,0,6cf16761_2
1,1,1,1,0,0,6cf16761_3
1.0,1.0,1.0,1.0,1.0,1.0,6cf16761_4_rand5
6,1,2,1,0,1.0,accdaa10_0
12,7,9,7,2,4.0,accdaa10_1_rand5
10,4,3,2,0.75,0.75,accdaa10_2
2,2,2,2,0,0,accdaa10_3_rand1
0,8,10,1.0,2,2.0,e81d9e4d_0
8,2,4,2,2,2.5,e81d9e4d_1
1,2,8,1,2,2,e81d9e4d_2
1.0,1.0,1.0,1.0,1.0,1.0,e81d9e4d_3
4,2,4,1,2,2.7,e851da75_0
1,1,1,1,0,0,e851da75_1
,,,,,,e851da75_2
9,3,4,1,1.8,1.8,e851da75_3
8,13,7,1,2,2.5,e851da75_4_rand2
2,2,4,1,2,2.75,531c21a6_0
1.5,3,4,2,0.75,0.75,531c21a6_1
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_0
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_1
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_2
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_3
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_4
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_5
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_6
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_7
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_8
12,6,9,1,2,2.5,e1ecacf7_9_rand1
1.0,3.0,2.0,2.0,1.0,3.0,e1ecacf7_10
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_11
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_12_rand3
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_13
1.5,3,1.2,0.8,1.2,0.75,e1ecacf7_14_rand3
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_15
1.0,1.0,1.0,1.0,1.0,1.0,e1ecacf7_16
1.0,3.0,2.0,3.0,1.0,3.0,e1ecacf7_17_rand4
12,6,8,4,3,7.5,aaccafa9_0
4,2,1,1,1,1.0,1226d00f_0
1,1,1,1,0,0,1226d00f_1_rand5
2,3,4,1,2,2.7,d5463d0b_0
8,6,6,1.25,1.75,6.75,d5463d0b_1
1.0,1.0,1.0,1.0,1.0,1.0,d5463d0b_2
1.0,1.0,1.0,1.0,1.0,1.0,d5463d0b_3
1.0,1.0,1.0,1.0,1.0,1.0,338db3e6_0
1.0,1.0,1.0,1.0,1.0,1.0,338db3e6_1_rand2
8,12,6,1.0,1.2,1.2,338db3e6_2
10,4,6,2,1.5,0.87,338db3e6_3_rand3
1.0,3.0,2.0,2.0,1.0,2.5,338db3e6_4
1.0,1.0,1.0,1.0,1.0,1.0,338db3e6_5
1,3,4,2,2,2.7,338db3e6_6
1,1,1,1,0,0,338db3e6_7
1.0,3.0,2.0,1.0,1.0,3.5,338db3e6_8
1.0,1.0,1.0,1.0,1.0,1.0,338db3e6_9
4,2,4,2,2,2.33,35fb1343_0
2.0,6,3,1.0,1.0,1.0,35fb1343_1
8,2,4,1,2,2,35fb1343_2
2,2,4,1,1,2.7,35fb1343_3_rand4
1,1,1,1,0,0,35fb1343_4
2.5,3,2.2,1.0,0.67,0.67,35fb1343_5_rand4
12,6,8,4,0.75,7.5,35fb1343_6
1.0,1.0,1.0,1.0,1.0,1.0,35fb1343_7
1.0,1.0,1.0,1.0,1.0,1.0,35fb1343_8_rand2
9,8,9,1,0,1.0,1be5e346_0
1.0,1.0,1.0,1.0,1.0,1.0,1be5e346_1
12,7,9,2,2,3.6,4cbb0a27_0
12,7,9,2,0,1.0,4cbb0a27_1
2,1,2,1,1,1.0,4cbb0a27_2
1,1,1,1,0,0,4cbb0a27_3
1.0,1.0,1.0,1.0,1.0,1.0,0141cfa1_0
1,1,2,2,0,0,0141cfa1_1
1.5,3,2.5,1.0,1.3,1.3,0141cfa1_2
10,4,6,2,1.5,7.5,0141cfa1_3
2,3,4,2,2,2.7,0141cfa1_4
9,1.0,1.0,1.0,1.0,1.0,e4db719e_0
8,1.0,1.0,1.0,0.0,0.0,e4db719e_1_rand2
8,2,4,2,0,1.0,e4db719e_2
8,2,4,2,2,2,e4db719e_3_rand1
2,2,4,1,2,4.0,e4db719e_4
1,1,1,0,0,0,e4db719e_5
1,2,1.5,1.0,1.0,1.8,e4db719e_6
1.5,3,1.2,0.75,0.75,0.75,e4db719e_7_rand1
0,1,1,1,0,0.5,9ca75a03_0
8,220,9,1,0,1.0,9ca75a03_1
2,3,4,1.5,0.75,7.5,9ca75a03_2
10,6,6,4,1.5,7.5,9ca75a03_3
1.0,3.0,3.0,2.0,1.0,3.0,9ca75a03_4
1,1,1,1,0,0,9ca75a03_5
9,2,4,2,2,2.5,bacb038f_0
2.0,3.0,2.5,1.0,1.2,0.87,bacb038f_1
8,2,4,2,2,3.0,52131549_0
12,2,10,1,4,4.0,52131549_1_rand3
1.5,3,2.5,1.0,0.67,0.67,52131549_2
4,8,9,7,2,2.5,ef2d3b65_0
9,2,4,7,2,2.25,ef2d3b65_1_rand1
2,3,4,1,2,2.7,ef2d3b65_2
8,2,4,2,2,2.0,ef2d3b65_3_rand1
2,2,4,1,2,2.7,ef2d3b65_4
1,12,9,1,0,0,ef2d3b65_5
12,6,8,4,2.5,7.5,ef2d3b65_6
12,7,8,1,2,2.5,ef2d3b65_7_rand4
9,3,2.5,1.0,0.75,0.75,ef2d3b65_8
9,3,2.5,1.0,0.75,0.75,ef2d3b65_9
3,2,4,1,2,2.7,ca76fed9_0
1.5,3,1.2,0.8,1.2,0.75,ca76fed9_1_rand4
4,220,9,1,0,1.0,ca76fed9_2
2,2,4,1.0,2,3.0,ca76fed9_3
1,2,1,1,0,0,ca76fed9_4_rand4
2,4,3,2,2,3.2,4604a3b3_0
8,3,2.5,1.0,2.5,2.5,4604a3b3_1
1.0,1.0,1.0,1.0,1.0,1.0,8b115172_0
1,2,2,1,1,2.3,8b115172_1_rand4
2,4,8,1,2,4.25,8b115172_2
2,2,4,1,2,2.7,8b115172_3_rand3
2,3,4,2,2,2,8b115172_4
1.0,3.0,2.0,2.0,1.0,3.0,8b115172_5
1,1,1,1,0,0,8b115172_6_rand4
1,1,1,1,0,0,8b115172_7
2,2,2,1,0,2.0,b8db6c3b_0
1,3,8,1,2,2.5,b8db6c3b_1
1,3,2,1,0,0,b8db6c3b_2
1,8,8,1,0,0,b8db6c3b_3
1.0,3.0,2.0,2.0,1.0,3.0,b8db6c3b_4
1.0,1.0,1.0,1.0,1.0,1.0,b8db6c3b_5
1,1,1,1,0,0,b8db6c3b_6
1,1,1,1,0,0,b8db6c3b_7
0,74,10,1.0,0,1.0,87c05a40_0
1.0,12.0,10.0,1.0,2.0,3.0,87c05a40_1
8,2,4,2,2,2.5,87c05a40_2
2,3,4,2,2,2.3,0d5a7c24_0
8,2,4,2,2,2.5,0d5a7c24_1
1,1,1,2,0,0,0d5a7c24_2
1,1,1,1,0,0,c921dd04_0
1.0,2.0,2.0,1.0,1.0,2.5,c921dd04_1
1,2,2,3,0,0,c921dd04_2
2.0,3.0,3.0,1.0,1.0,3.5,c921dd04_3_rand2
1.0,3.0,3.0,2.0,1.0,4.0,c921dd04_4
12,7,10,1,4,7.0,c921dd04_5
1.0,1.0,1.0,1.0,1.0,1.0,d8f1b85c_0
2.0,4,2.5,2.0,0.75,0.75,d8f1b85c_1
1,2,2,1,0,0,d8f1b85c_2
2,2,4,1,2,2.7,d8f1b85c_3
12,7,9,2,2,4.7,d8f1b85c_4
2,3,2,1,1,1.0,1ba1b837_0
8,3,2,1.5,1.5,1.5,1ba1b837_1
2,4,4,2,2,2.7,1ba1b837_2_rand2
8,3,2.5,1.0,1.5,1.5,1ba1b837_3
2,3,3,1,2,2.7,1ba1b837_4_rand4
1.0,1.0,1.0,1.0,1.0,1.0,1ba1b837_5
2,3,4,1.5,0.75,0.75,1ba1b837_6
2,3,4,1.5,2,4.2,1ba1b837_7_rand2
2,2,1,1,0,1.0,1ba1b837_8
1.0,3.0,3.0,2.0,1.0,3.0,1ba1b837_9
2.0,3.0,1.5,1.0,0.75,0.75,2389357c_0
10,6,7,4,1.5,7.5,2389357c_1
1,1,1,1,0,0,2389357c_2
9,2,8,1,2,2.5,13c99b75_0
12,7,9,2,2,2.5,13c99b75_1_rand3
9,2,9,7,2,2.5,13c99b75_2
3.5,4,1.5,0.75,0.75,0.75,13c99b75_3
8,2,7,1,3,7.0,13c99b75_4_rand5
1.0,3.0,3.0,2.0,2.0,3.0,13c99b75_5
1,1,1,1,0,0,13c99b75_6
2,3,2,1,0,1.0,13c99b75_7_rand5
1,3,2,2,0,0,13c99b75_8
1,3,2,2,1,2.3,13c99b75_9_rand5
10,6,6,4,1.25,0.75,b3a03a6d_0
2,3,3,1.0,1,2.25,b3a03a6d_1
1,1,1,1,0,0,b3a03a6d_2
8,6,2,1,1,1.0,b3a03a6d_3
1.0,1.0,1.0,1.0,1.0,1.0,b3a03a6d_4_rand5
1.0,1.0,1.0,1.0,1.0,1.0,fcb32f85_0
8,2,7,1,4,5.0,fcb32f85_1_rand5
1,1,1,1,0,0,fcb32f85_2
1,1,1,1,0,0,fcb32f85_3
1,2,2,1,0,0,fcb32f85_4
